UF,indice_pim_sem_ajuste,indice_pim _com_ajuste_sazonal,Segmentação,mês,ano
Brasil,102.96503,99.62427335,Indústrias de transformação,5,2024
Brasil,112.87529,102.8906441,Indústrias de transformação,10,2019
Brasil,99.15832,99.46023828,Indústrias de transformação,3,2023
Brasil,101.92664,100.6236535,Indústrias de transformação,11,2019
Brasil,86.99451,98.28859374,Indústrias de transformação,1,2016
Brasil,91.08177,98.59674036,Indústrias de transformação,4,2023
Brasil,99.8062,100.5331475,Indústrias de transformação,6,2019
Brasil,110.22978,120.1463981,Indústrias de transformação,1,2013
Brasil,100.61386,98.76615232,Indústrias de transformação,6,2023
Brasil,108.54167,99.18329589,Indústrias de transformação,7,2019
Brasil,115.51312,113.5497261,Indústrias de transformação,11,2014
Brasil,107.67743,114.1342911,Indústrias de transformação,4,2012
Brasil,105.91076,119.2590653,Indústrias de transformação,12,2012
Brasil,104.39318,99.59126797,Indústrias de transformação,5,2023
Brasil,111.30864,100.3525911,Indústrias de transformação,8,2019
Brasil,94.30912,103.1732956,Indústrias de transformação,1,2025
Brasil,94.08602,101.1999558,Indústrias de transformação,3,2019
Brasil,110.27193,102.5495328,Indústrias de transformação,7,2018
Brasil,105.62847,99.81191758,Indústrias de transformação,7,2017
Brasil,91.84751,100.1915248,Indústrias de transformação,1,2024
Brasil,91.66259,100.2857045,Indústrias de transformação,2,2024
Brasil,114.14389,104.1212887,Indústrias de transformação,10,2024
Brasil,113.66492,102.1066537,Indústrias de transformação,8,2018
Brasil,100.91781,106.0131392,Indústrias de transformação,4,2015
Brasil,104.32205,100.0407659,Indústrias de transformação,9,2018
Brasil,130.9061,118.5912789,Indústrias de transformação,10,2012
Brasil,99.06503,102.8080973,Indústrias de transformação,3,2018
Brasil,105.96215,104.8742305,Indústrias de transformação,5,2015
Brasil,105.33477,103.9337804,Indústrias de transformação,6,2015
Brasil,111.62361,99.95944543,Indústrias de transformação,8,2017
Brasil,95.48073,100.7374638,Indústrias de transformação,3,2024
Brasil,95.54747,90.69887415,Indústrias de transformação,5,2018
Brasil,121.4739,117.9115883,Indústrias de transformação,9,2012
Brasil,109.51585,104.0822283,Indústrias de transformação,9,2024
Brasil,111.31081,100.7219473,Indústrias de transformação,10,2015
